,Timestamp,DPIT-301/AI1/PV.CV %,DPIT-303/AI1/PV.CV %,DPIT-304/AI1/PV.CV %,DPIT-306/AI1/PV.CV %,DPIT-307/AI1/PV.CV %,DPIT-309/AI1/PV.CV %,DPIT-311-WHART/AI1/PV.CV no units,feb5c2df-3e8d-4e9e-a32b-1b39f835b531 ,FIT-321/AI1/OUT.CV lb/min,FIT-321/AI1/PV.CV lb/min,FIT-321/AI3/OUT.CV GPM,FIT-323/MASS/OUT.CV l/min,FIT-323/VOL/OUT.CV no units,FSC-300-01/CALC1/OUT2.CV No EngUnits,FSC-300-01/MTR_FREQ/PV.CV Hz,LIT-353/AI1/PV.CV inH2O,LIT-354-WHART/AI1/PV.CV in,LIT-373/AI1/PV.CV inH2O,LIT-374-WHART/AI1/PV.CV in,PIT-313/AI1/PV.CV psi,PIT-314/AI1/PV.CV psia,PIT-331/AI1/PV.CV %,PIT-332/AI1/PV.CV psi,TIT-333/AI1/PV.CV %,TIT-334/AI1/PV.CV %,ZIT-321-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-322-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-323-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-324-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-325-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-326-STAT/CLOSED/PV_D.CV No EngUnits
0,2022-01-12 14:00:00-05:00,5.743412018,28.06982231,5.756145954,11.42529392,-0.025556732,-0.195745304,0,Pt Created,-0.167380631,-0.112529695,No Data,-0.01069137,0.093854122,0,0,27.7136116,0,23.9836731,25.4601593,3.174992561,0,3.688880205,3.090930462,71.40716553,71.2257309,0,0,0,0,0,0
1,2022-01-12 14:00:30-05:00,5.743412495,28.06881714,5.756148338,11.42752647,-0.025555769,-0.195747614,0,Pt Created,-0.173546746,-0.112835974,No Data,-0.01071077,0.093891829,0,0,27.71013451,0,23.98365784,25.46024895,3.175968409,0,3.688879013,3.090930939,71.40860748,71.22754669,0,0,0,0,0,0
2,2022-01-12 14:01:00-05:00,5.743412971,28.06781006,5.756150723,11.42975903,-0.025554804,-0.195749938,0,Pt Created,-0.172597408,-0.113142245,No Data,-0.01073017,0.093929544,0,0,27.70665932,0,23.98364449,25.46033669,3.176944256,0,3.688878059,3.090931654,71.41004944,71.22936249,0,0,0,0,0,0
3,2022-01-12 14:01:30-05:00,5.743413448,23.0199337,5.756153107,11.43199158,-0.025553839,-0.195752248,0,Pt Created,-0.143968701,-0.113448523,No Data,-0.010749569,0.093967259,0,0,27.70318413,0,23.98362923,25.46042633,3.177920103,0,3.688876867,3.090932131,71.41149139,71.23117828,1,1,0,1,1,1
4,2022-01-12 14:02:00-05:00,-0.049432199,-0.021301787,5.756155491,11.43422508,-0.025552874,-0.195754558,0,Pt Created,-0.132489949,-0.113754801,No Data,-0.01076897,0.094004966,0,0,27.69970703,0,23.98361397,25.46051407,3.17889595,0,3.688875914,3.090932608,71.41293335,71.23300171,1,1,0,1,1,1
5,2022-01-12 14:02:30-05:00,-0.047506839,-0.021191649,5.756157875,11.43645763,-0.02555191,-0.195756868,0,Pt Created,-0.189456001,-0.11406108,No Data,-0.010788369,0.094042681,0,0,27.69623184,0,23.98359871,25.46060371,3.179871559,0,3.68887496,3.090933084,71.41437531,71.2348175,1,1,0,1,1,1
6,2022-01-12 14:03:00-05:00,-0.045581479,-0.021081511,5.756160259,11.43869019,-0.025550945,-0.195759177,0,Pt Created,-0.057658296,-0.114367358,No Data,-0.010807768,0.094080396,0,0,27.69275665,0,23.98358345,25.46069145,3.180847406,0,3.688873768,3.090933561,71.41581726,71.2366333,0,0,0,0,0,0
7,2022-01-12 14:03:30-05:00,-0.043656118,-0.020971373,5.756162643,11.44092274,-0.025549982,-0.195761487,0,Pt Created,-0.157801613,-0.114673637,No Data,-0.010827169,0.094118103,0,0,27.68927956,0,23.98356819,25.4607811,3.181823254,0,3.688872814,3.090934038,71.41725922,71.2384491,0,0,0,0,0,0
8,2022-01-12 14:04:00-05:00,-0.041730754,-0.020861235,5.756165028,11.44315624,-0.025549017,-0.195763797,0,Pt Created,-0.12645185,-0.114979915,No Data,-0.010846568,0.094155818,0,0,27.68580437,0,23.98355293,25.46086884,3.182799101,0,3.688871622,3.090934515,71.41870117,71.24026489,0,0,0,0,0,0
9,2022-01-12 14:04:30-05:00,-0.039805394,-0.020751096,5.756167889,11.44538879,-0.025548052,-0.195766106,0,Pt Created,-0.068886854,-0.115286194,No Data,-0.010865969,0.094193533,0,0,27.68232727,0,23.98353767,25.46095848,3.183774948,0,3.688870668,3.090934992,71.42014313,71.24208069,0,0,0,0,0,0
10,2022-01-12 14:05:00-05:00,1.914654016,1.947920799,5.756170273,11.44762135,5.455582619,4.978553772,0,Pt Created,59.3892746,59.30940628,No Data,60.06578064,7.217518806,0,21.34973717,27.67885208,0,23.98352242,25.46104622,5.607615948,0,3.688869715,6.181796074,71.42158508,71.24390411,0,0,0,0,0,0
11,2022-01-12 14:05:30-05:00,2.201874256,2.267315626,5.756172657,11.4498539,5.716560841,5.731193066,0,Pt Created,66.87498474,65.30915833,No Data,67.57202911,8.100070953,0,23.6538353,27.67537689,0,23.98350716,25.46113396,5.788021564,0,3.688868523,6.42819643,71.42302704,71.24571991,0,0,0,0,0,0
12,2022-01-12 14:06:00-05:00,2.45815897,2.469556808,5.756175041,11.45208645,5.720599651,6.979445934,0,Pt Created,66.92378235,66.84128571,No Data,67.7010498,8.108924866,0,23.63534164,27.6718998,0,23.9834919,25.4612236,5.968427658,0,3.688867569,6.674597263,71.42446899,71.24753571,0,0,0,0,0,0
13,2022-01-12 14:06:30-05:00,2.465046406,2.476124287,5.756177425,11.45431995,5.724637985,6.985432625,0,Pt Created,67.08912659,66.90011597,No Data,67.72299194,8.117778778,0,23.6168499,27.66842461,0,23.98347664,25.46131134,6.148833275,0,3.688866377,6.92099762,71.42591095,71.2493515,0,0,0,0,0,0
14,2022-01-12 14:07:00-05:00,2.471933603,2.482692003,5.75617981,11.45655251,5.728676796,6.991419792,0,Pt Created,66.96790314,66.95895386,No Data,67.74494171,8.12663269,0,23.59835625,27.66494942,0,23.98346138,25.46140099,6.329238892,0,3.688865423,7.167397976,71.42735291,71.2511673,0,0,0,0,0,0
15,2022-01-12 14:07:30-05:00,2.478820801,3.215442181,5.756182194,11.45878506,5.732715607,6.997406483,0,Pt Created,64.31163788,67.01778412,No Data,67.05515289,8.010936737,0,23.57986259,27.66147232,0,23.98344803,25.46148872,6.509644508,0,3.688864231,7.413798332,71.42879486,71.25298309,1,0,0,0,0,0
16,2022-01-12 14:08:00-05:00,5.740251541,13.96585655,5.756184578,11.46101761,4.0623703,5.105065823,0,Pt Created,16.52127647,41.82289124,No Data,24.05225754,2.8874259,0,6.728333473,27.65799713,0,23.98343277,25.46157837,6.372514248,0,3.688863277,6.589113235,71.43023682,71.25480652,1,1,0,1,1,1
17,2022-01-12 14:08:30-05:00,0.977143168,0.936790287,5.756186962,11.46325111,0.342462927,0.126297042,0,Pt Created,10.82837296,12.16091156,No Data,11.17136383,1.38763535,0,5.303845882,27.65452194,0,23.98341751,25.46166611,3.567574263,0,3.688862324,3.498630047,71.43167877,71.25662231,1,1,0,1,1,1
18,2022-01-12 14:09:00-05:00,0.763128757,0.7793625,5.756189346,11.46548367,0.210809469,0.063061588,0,Pt Created,10.13140678,10.49340153,No Data,10.27457523,1.309704185,0,4.973182201,27.65104485,0,23.98340225,25.46175575,3.565804482,0,3.688861132,3.497778177,71.43312073,71.25843811,1,1,0,1,1,1
19,2022-01-12 14:09:30-05:00,0.75899291,0.780513763,5.75619173,11.46771622,0.18931964,0.059649862,0,Pt Created,10.217309,10.46871471,No Data,10.35423851,1.244814754,0,4.986818314,27.64756966,0,23.98338699,25.46184349,3.564034462,0,3.688860178,3.496926308,71.43456268,71.26025391,1,1,0,1,1,1
20,2022-01-12 14:10:00-05:00,0.760605156,0.781665027,5.756194115,11.46994877,0.189862549,0.056238141,0,Pt Created,10.24793053,10.4440279,No Data,10.35831356,1.245133877,0,5.000454903,27.64409256,0,23.98337173,25.46193314,3.562264442,0,3.688858986,3.4960742,71.43600464,71.2620697,1,1,0,1,1,1
21,2022-01-12 14:10:30-05:00,0.762217402,0.782816291,5.756196976,11.47218227,0.190405458,0.052826419,0,Pt Created,10.18893433,10.41934109,No Data,10.36238861,1.245452881,0,5.014091015,27.64061737,0,23.98335648,25.46202087,3.560494423,0,3.688858032,3.49522233,71.43744659,71.2638855,1,1,0,1,1,1
22,2022-01-12 14:11:00-05:00,0.763829589,0.783967555,5.75619936,11.47441483,0.190948352,0.049414694,0,Pt Created,10.12719917,10.39465427,No Data,10.36646366,1.245772004,0,5.027727604,27.63714218,0,23.98334122,25.46210861,3.558724642,0,3.688857079,3.494370461,71.43888855,71.26570892,1,1,0,1,1,1
23,2022-01-12 14:11:30-05:00,0.765441835,0.785118818,5.756201744,11.47664738,0.191491261,0.046002973,0,Pt Created,10.19281006,10.36996651,No Data,10.37053871,1.246091127,0,5.041363716,27.63366508,0,23.98332596,25.46219826,3.556954622,0,3.688855886,3.493518353,71.44033051,71.26752472,1,1,0,1,1,1
24,2022-01-12 14:12:00-05:00,0.767054081,0.786270082,5.756204128,11.47887993,0.192034155,0.042591251,0,Pt Created,10.1499157,10.34527969,No Data,10.37461376,1.246410131,0,5.055000305,27.6301899,0,23.9833107,25.462286,3.555184603,0,3.688854933,3.492666483,71.44177246,71.26934052,1,1,0,1,1,1
25,2022-01-12 14:12:30-05:00,0.768666327,0.787421346,5.756206512,11.48111343,0.192577064,0.03917953,0,Pt Created,10.22160053,10.32059288,No Data,10.37868881,1.246729255,0,5.068636417,27.62671471,0,23.98329544,25.46237564,3.553414583,0,3.688853741,3.491814613,71.44321442,71.27115631,1,1,0,1,1,1
26,2022-01-12 14:13:00-05:00,0.770278573,0.788572609,5.75620985,11.48334599,0.193119973,0.035767805,0,Pt Created,10.07382393,10.29590607,No Data,10.38276386,1.247048378,0,5.082273006,27.62323761,0,23.98328018,25.46246338,3.551644564,0,3.688852787,3.490962505,71.44465637,71.27297211,1,1,0,1,1,1
27,2022-01-12 14:13:30-05:00,0.771890759,0.789723873,5.756213188,11.48557854,0.193662867,0.032356083,0,Pt Created,10.21898651,10.27121925,No Data,10.38683891,1.247367382,0,5.095909119,27.61976242,0,23.98326683,25.46255302,3.549874783,0,3.688851595,3.490110636,71.44609833,71.2747879,1,1,0,1,1,1
28,2022-01-12 14:14:00-05:00,0.773503006,0.790875137,5.756216526,11.48781109,0.194205776,0.028944362,0,Pt Created,10.23726654,10.24653244,No Data,10.39091396,1.247686505,0,5.109545708,27.61628532,0,23.98325157,25.46264076,3.548104763,0,3.688850641,3.489258766,71.44754028,71.27661133,1,1,0,1,1,1
29,2022-01-12 14:14:30-05:00,0.775115252,0.792026401,5.756220341,11.49004364,0.194748685,0.025532639,0,Pt Created,10.17142105,10.22184467,No Data,10.39498901,1.248005629,0,5.12318182,27.61281013,0,23.98323631,25.46273041,3.546334743,0,3.688849688,3.488406658,71.44898224,71.27842712,1,1,0,1,1,1
30,2022-01-12 14:15:00-05:00,1.223872662,1.288493276,5.756223679,11.49227715,0.226790875,0.047012482,0,Pt Created,12.98299122,13.72156906,No Data,13.62619209,1.660945296,0,6.130000591,27.60933495,0,23.98322105,25.46281815,3.544564724,0,3.688848495,3.487554789,71.45042419,71.28024292,1,1,0,1,1,1
31,2022-01-12 14:15:30-05:00,1.205404997,1.22135973,5.756227016,11.4945097,0.321684748,0.150278896,0,Pt Created,13.29046631,13.6743412,No Data,13.45021248,1.65359211,0,6.285406113,27.60585785,0,23.9832058,25.46290779,3.542794943,0,3.688847542,3.486702919,71.45186615,71.28205872,1,1,0,1,1,1
32,2022-01-12 14:16:00-05:00,1.208247662,1.224609017,5.756230354,11.49674225,0.321933866,0.156758085,0,Pt Created,13.2234087,13.62711239,No Data,13.44842052,1.646238804,0,6.27884388,27.60238266,0,23.98319054,25.46299553,3.541024923,0,3.68884635,3.485850811,71.45330811,71.28387451,1,1,0,1,1,1
33,2022-01-12 14:16:30-05:00,1.211090446,1.227858305,5.756233692,11.4989748,0.322182983,0.156323925,0,Pt Created,13.13515854,13.57988358,No Data,13.44662952,1.638885498,0,6.27228117,27.59890747,0,23.98317528,25.46308327,3.539254904,0,3.688845396,3.484998941,71.45475006,71.28569031,1,1,0,1,1,1
34,2022-01-12 14:17:00-05:00,1.21393311,1.231107712,5.75623703,11.50120831,0.322432131,0.15588975,0,Pt Created,13.2495985,13.53265572,No Data,13.44483757,1.631532192,0,6.265718937,27.59543037,0,23.98316002,25.46317291,3.537484884,0,3.688844442,3.484147072,71.45619202,71.28751373,1,1,0,1,1,1
35,2022-01-12 14:17:30-05:00,1.216775894,1.234356999,5.756240368,11.50344086,0.322681248,0.155455574,0,Pt Created,13.26553059,13.48542786,No Data,13.44304657,1.624178886,0,6.259156227,27.59195518,0,23.98314476,25.46326065,3.535715103,0,3.68884325,3.483294964,71.45763397,71.28932953,1,1,0,1,1,1
36,2022-01-12 14:18:00-05:00,1.219618678,1.237606287,5.756243706,11.50567341,0.322930366,0.155021399,0,Pt Created,13.16518211,13.43819904,No Data,13.44125557,1.6168257,0,6.252593994,27.58848,0,23.9831295,25.4633503,3.533945084,0,3.688842297,3.482443094,71.45907593,71.29114532,1,1,0,1,1,1
