,Timestamp,DPIT-301/AI1/PV.CV %,DPIT-303/AI1/PV.CV %,DPIT-304/AI1/PV.CV %,DPIT-306/AI1/PV.CV %,DPIT-307/AI1/PV.CV %,DPIT-309/AI1/PV.CV %,DPIT-311-WHART/AI1/PV.CV no units,feb5c2df-3e8d-4e9e-a32b-1b39f835b531 ,FIT-321/AI1/OUT.CV lb/min,FIT-321/AI1/PV.CV lb/min,FIT-321/AI3/OUT.CV GPM,FIT-323/MASS/OUT.CV l/min,FIT-323/VOL/OUT.CV no units,FSC-300-01/CALC1/OUT2.CV No EngUnits,FSC-300-01/MTR_FREQ/PV.CV Hz,LIT-353/AI1/PV.CV inH2O,LIT-354-WHART/AI1/PV.CV in,LIT-373/AI1/PV.CV inH2O,LIT-374-WHART/AI1/PV.CV in,PIT-313/AI1/PV.CV psi,PIT-314/AI1/PV.CV psia,PIT-331/AI1/PV.CV %,PIT-332/AI1/PV.CV psi,TIT-333/AI1/PV.CV %,TIT-334/AI1/PV.CV %,ZIT-321-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-322-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-323-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-324-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-325-STAT/CLOSED/PV_D.CV No EngUnits,ZIT-326-STAT/CLOSED/PV_D.CV No EngUnits
0,2021-10-12 14:00:00-04:00,5.748804569,48.17483521,5.756634235,15.97489166,0.037893027,-0.182323262,0,Pt Created,-0.099612296,-0.131802201,No Data,-0.05102735,-0.006160647,0,0,27.16868591,0,24.43079948,25.93922615,2.295936346,0,2.419504642,1.835038543,72.12049866,72.04247284,0,0,0,0,0,0
1,2021-10-12 14:00:30-04:00,5.748820305,48.17189026,5.756635189,15.97609615,0.038175289,-0.18232213,0,Pt Created,-0.106435686,-0.132129222,No Data,-0.051281814,-0.00616224,0,0,27.16608047,0,24.43076706,25.93932343,2.299604654,0,2.419434309,1.834968686,72.12280273,72.0454483,0,0,0,0,0,0
2,2021-10-12 14:01:00-04:00,5.748836517,48.16894531,5.756635666,15.97831821,0.03845755,-0.182320997,0,Pt Created,0.008285031,-0.132456243,No Data,-0.051536277,-0.006163832,0,0,27.16347504,0,24.43073654,25.93941879,2.303272724,0,2.419363737,1.834898829,72.12511444,72.04841614,0,0,0,0,0,0
3,2021-10-12 14:01:30-04:00,5.74885273,48.16600037,5.75663662,15.9846096,0.038739812,-0.182319865,0,Pt Created,-0.101590917,-0.132783264,No Data,-0.05179074,-0.006165425,0,0,27.1608696,0,24.43070412,25.93951416,2.306940794,0,2.419293165,1.834828973,72.12741852,72.0513916,0,0,0,0,0,0
4,2021-10-12 14:02:00-04:00,5.748868942,48.16305923,5.756637573,15.99090195,0.039022069,-0.182318732,0,Pt Created,-0.182841361,-0.133110285,No Data,-0.052045204,-0.006167018,0,0,27.15826416,0,24.4306736,25.93960953,2.310609102,0,2.419222832,1.834759116,72.12973022,72.05436707,0,0,0,0,0,0
5,2021-10-12 14:02:30-04:00,5.748885155,48.16011429,5.756638527,15.99719334,0.039304331,-0.182317585,0,Pt Created,-0.166327581,-0.133437306,No Data,-0.052299667,-0.006168611,0,0,27.15566063,0,24.43064308,25.9397049,2.314277172,0,2.41915226,1.83468926,72.1320343,72.0573349,0,0,0,0,0,0
6,2021-10-12 14:03:00-04:00,5.748901367,48.15716934,5.756639481,16.00348473,0.039586592,-0.182316452,0,Pt Created,-0.039598484,-0.133764327,No Data,-0.052554131,-0.006170204,0,0,27.15305519,0,24.43061066,25.93980026,2.317945242,0,2.419081688,1.834619284,72.13434601,72.06031036,1,1,0,1,1,0
7,2021-10-12 14:03:30-04:00,5.748917103,48.1493187,5.756639957,16.00977516,0.039868854,-0.18231532,0,Pt Created,-0.105521783,-0.134091347,No Data,-0.052808594,-0.006171797,0,0,27.15044975,0,24.43058014,25.93989754,2.32161355,0,2.419011116,1.834549427,72.13665009,72.0632782,0,0,0,0,0,0
8,2021-10-12 14:04:00-04:00,5.748933315,48.13862991,5.756640911,16.0160675,0.040151112,-0.182314187,0,Pt Created,-0.10724809,-0.134418368,No Data,-0.053063054,-0.006173389,0,0,27.14784431,0,24.43054962,25.9399929,2.324805737,0,2.730846643,2.171331167,72.13896179,72.06625366,0,0,0,0,0,0
9,2021-10-12 14:04:30-04:00,5.748949528,48.12794113,5.756641865,16.02235794,0.040433373,-0.182313055,0,Pt Created,-0.177466825,-0.134745389,No Data,-0.053317517,-0.006174983,0,0,27.14523888,0,24.4305172,25.94008827,2.325618029,0,3.510541201,2.948611021,72.14126587,72.06922913,1,1,0,1,1,1
10,2021-10-12 14:05:00-04:00,5.74896574,48.11725235,5.756642818,16.02865028,0.099775501,-0.021549469,0,Pt Created,10.33525276,9.293447495,No Data,10.47230816,1.315399766,0,5.22699976,27.14263344,0,24.43048668,25.94018364,2.326430321,0,3.718410969,3.129926205,72.14357758,72.07219696,1,1,0,1,1,1
11,2021-10-12 14:05:30-04:00,2.480367661,21.36167908,5.756643772,16.03494072,0.220190123,0.076164559,0,Pt Created,10.62344837,10.79996872,No Data,10.76903343,1.294947863,0,5.190256119,27.140028,0,24.43045425,25.94027901,2.327242613,0,3.718344688,3.129860878,72.14588165,72.07517242,1,1,0,1,1,1
12,2021-10-12 14:06:00-04:00,0.834381282,0.860495627,5.756644249,16.04123306,0.19741933,0.065247916,0,Pt Created,10.63336372,10.72094727,No Data,10.76245022,1.27449584,0,5.159487247,27.13742256,0,24.43042374,25.94037437,2.328054905,0,3.718278408,3.129795551,72.14819336,72.07814789,1,1,0,1,1,1
13,2021-10-12 14:06:30-04:00,0.832590997,0.857458532,5.756645203,16.04752541,0.174648538,0.054331277,0,Pt Created,5.559263229,8.964895248,No Data,6.06997776,0.80619216,0,2.803333282,27.13481903,0,24.43039322,25.94046974,2.328867197,0,3.718211889,3.129730225,72.15031433,72.08111572,1,1,0,1,1,1
14,2021-10-12 14:07:00-04:00,0.184798658,0.205692187,5.756646156,16.05381584,0.107932568,-0.108677983,0,Pt Created,4.448533535,5.03178215,No Data,4.660970211,0.638073921,0,2.630000114,27.13221359,0,24.43036079,25.94056702,2.329679728,0,3.718145609,3.129665136,72.15119934,72.08409119,1,1,0,1,1,1
15,2021-10-12 14:07:30-04:00,0.175251469,0.197994485,5.75664711,16.06010818,0.036055591,-0.106886879,0,Pt Created,4.601358414,5.06334877,No Data,4.686088562,0.639551163,0,2.573915958,27.12960815,0,24.43033028,25.94066238,2.33049202,0,3.718079329,3.12959981,72.15209198,72.08705902,1,1,0,1,1,1
16,2021-10-12 14:08:00-04:00,0.16570428,0.190296799,5.756648064,16.06639862,0.038101055,-0.105095781,0,Pt Created,4.767168522,5.09491539,No Data,4.712301254,0.641028404,0,2.581258774,27.12700272,0,24.43029785,25.94075775,2.331304312,0,3.718013048,3.129534483,72.15297699,72.09003448,1,1,0,1,1,1
17,2021-10-12 14:08:30-04:00,0.156157091,0.182599112,5.75664854,16.07269096,0.040146522,-0.103304684,0,Pt Created,4.643667698,5.12648201,No Data,4.718039989,0.642505705,0,2.588601351,27.12439728,0,24.43026733,25.94085312,2.332116604,0,3.717946529,3.129469156,72.15386963,72.09300995,1,1,0,1,1,1
18,2021-10-12 14:09:00-04:00,0.146609902,0.174901426,5.756649494,16.0789814,0.042191986,-0.101513587,0,Pt Created,4.553517342,5.158049107,No Data,4.723778725,0.643982947,0,2.595943928,27.12179184,0,24.43023682,25.94094849,2.332928896,0,3.717880249,3.12940383,72.15475464,72.09597778,1,1,0,1,1,1
19,2021-10-12 14:09:30-04:00,0.137062714,0.167203739,5.756650448,16.08527374,0.044237453,-0.09972249,0,Pt Created,4.561491013,5.189615726,No Data,4.72951746,0.645460248,0,2.603286743,27.1191864,0,24.43020439,25.94104385,2.333741188,0,3.717813969,3.129338503,72.15564728,72.09895325,1,1,0,1,1,1
20,2021-10-12 14:10:00-04:00,0.134431809,0.159506053,5.756651402,16.09156418,0.046282921,-0.097931385,0,Pt Created,4.594576359,5.221182346,No Data,4.735256195,0.64693749,0,2.61062932,27.11658096,0,24.43017387,25.94114113,2.33455348,0,3.717747688,3.129273176,72.15653229,72.10192108,1,1,0,1,1,1
21,2021-10-12 14:10:30-04:00,0.137089834,0.151808351,5.756652355,16.09785652,0.048328385,-0.096140288,0,Pt Created,4.606041431,5.252748966,No Data,4.74099493,0.648414731,0,2.617971897,27.11397743,0,24.43014336,25.9412365,2.335365772,0,3.71768117,3.129208088,72.15742493,72.10489655,1,1,0,1,1,1
22,2021-10-12 14:11:00-04:00,0.139747843,0.15459688,5.756652832,16.10414696,0.050373852,-0.094349191,0,Pt Created,4.710679054,5.284315586,No Data,4.746733665,0.649892032,0,2.625314713,27.11137199,0,24.43011093,25.94133186,2.336178064,0,3.717614889,3.129142761,72.15830994,72.10787201,1,1,0,1,1,1
23,2021-10-12 14:11:30-04:00,0.142405868,0.157747,5.756653786,16.1104393,0.05241932,-0.092558093,0,Pt Created,4.534791946,5.315882206,No Data,4.752472401,0.651369274,0,2.63265729,27.10876656,0,24.43008041,25.94142723,2.336990595,0,3.717548609,3.129077435,72.15920258,72.11083984,1,1,0,1,1,1
24,2021-10-12 14:12:00-04:00,0.145063892,0.160897121,5.756654739,16.11672974,0.054464784,-0.090766996,0,Pt Created,4.709647179,5.347449303,No Data,4.758211136,0.652846575,0,2.639999866,27.10616112,0,24.43004799,25.9415226,2.337802887,0,3.717482328,3.129012108,72.16008759,72.11381531,1,1,0,1,1,1
25,2021-10-12 14:12:30-04:00,0.147721902,0.164047241,5.756655693,16.12302208,0.056510251,-0.088975899,0,Pt Created,4.758644581,5.379015923,No Data,4.763949394,0.654323816,0,2.647342682,27.10355568,0,24.43001747,25.94161797,2.338615179,0,3.717416048,3.128946781,72.16098022,72.11678314,1,1,0,1,1,1
26,2021-10-12 14:13:00-04:00,0.150379926,0.167197362,5.756656647,16.12931252,0.058555715,-0.087184794,0,Pt Created,4.545054436,5.410582542,No Data,4.769688129,0.655801058,0,2.654685259,27.10095024,0,24.42998695,25.94171333,2.339427471,0,3.717349529,3.128881454,72.16186523,72.11975861,1,1,0,1,1,1
27,2021-10-12 14:13:30-04:00,0.15303795,0.170347482,5.756657124,16.13560486,0.060601182,-0.085393697,0,Pt Created,4.649505138,5.442149162,No Data,4.775426865,0.657278359,0,2.662028074,27.0983448,0,24.42995453,25.94181061,2.340239763,0,3.717283249,3.128816128,72.16275787,72.12273407,1,1,0,1,1,1
28,2021-10-12 14:14:00-04:00,0.15569596,0.173497587,5.756658077,16.14189529,0.06264665,-0.0836026,0,Pt Created,4.728690624,5.473715782,No Data,4.7811656,0.6587556,0,2.669370651,27.09573936,0,24.42992401,25.94190598,2.341052055,0,3.717216969,3.12875104,72.16364288,72.1257019,1,1,0,1,1,1
29,2021-10-12 14:14:30-04:00,0.158353984,0.176647708,5.756659031,16.14818764,0.064692117,-0.081811503,0,Pt Created,4.475517273,5.505282879,No Data,4.786904335,0.660232902,0,2.676713228,27.09313583,0,24.42989349,25.94200134,2.341864347,0,3.717150688,3.128685713,72.16453552,72.12867737,1,1,0,1,1,1
30,2021-10-12 14:15:00-04:00,0.161012009,0.179797828,5.756659985,16.15447807,0.066737577,-0.080020405,0,Pt Created,4.741111755,5.536849499,No Data,4.79264307,0.661710143,0,2.684056044,27.0905304,0,24.42986107,25.94209671,2.34267664,0,3.717084169,3.128620386,72.16542816,72.1316452,1,1,0,1,1,1
31,2021-10-12 14:15:30-04:00,0.163670018,0.182947949,5.756660938,16.16077042,0.068783045,-0.078229308,0,Pt Created,4.75227356,5.568416119,No Data,4.798381805,0.663187385,0,2.691398621,27.08792496,0,24.42983055,25.94219208,2.34348917,0,3.717017889,3.128555059,72.16631317,72.13462067,1,1,0,1,1,1
32,2021-10-12 14:16:00-04:00,0.166328043,0.186098069,5.756661415,16.16706276,0.070828512,-0.076438203,0,Pt Created,4.635890961,5.599982738,No Data,4.804120541,0.664664686,0,2.698741198,27.08531952,0,24.42979813,25.94228745,2.344301462,0,3.716951609,3.128489733,72.16720581,72.13759613,1,1,0,1,1,1
33,2021-10-12 14:16:30-04:00,0.168986067,0.189248189,5.756662369,16.1733532,0.07287398,-0.074647106,0,Pt Created,4.446110725,5.631549358,No Data,4.809859276,0.666141927,0,2.706084013,27.08271408,0,24.42976761,25.94238472,2.345113754,0,3.716885328,3.128424406,72.16809082,72.14056396,1,1,0,1,1,1
34,2021-10-12 14:17:00-04:00,0.171644077,0.19239831,5.756663322,16.17964554,0.074919447,-0.072856009,0,Pt Created,5.155591488,5.663116455,No Data,5.292550087,0.667619228,0,2.937213182,27.08010864,0,24.42973709,25.94248009,2.345926046,0,3.71681881,3.128359079,72.16898346,72.14353943,1,1,0,1,1,1
35,2021-10-12 14:17:30-04:00,0.210477665,0.235651374,5.756664276,16.18593597,0.076964907,-0.071064912,0,Pt Created,6.406400204,5.783379078,No Data,6.345107079,0.720092714,0,3.424098492,27.0775032,0,24.42970467,25.94257545,2.346738338,0,3.716752529,3.128293991,72.16986847,72.14650726,1,1,0,1,1,1
36,2021-10-12 14:18:00-04:00,0.321662396,0.348173201,5.75666523,16.19222832,0.079010375,-0.069273815,0,Pt Created,7.234372139,6.19507122,No Data,7.270961285,0.794421792,0,3.761389017,27.07489777,0,24.42967415,25.94267082,2.347550631,0,3.716686249,3.128228664,72.17076111,72.14948273,1,1,0,1,1,1
37,2021-10-12 14:18:30-04:00,0.432847112,0.456929833,5.756665707,16.19851875,0.081055842,-0.06748271,0,Pt Created,7.316007614,6.606763363,No Data,7.557824612,0.868750811,0,3.870714188,27.07229424,0,24.42964172,25.94276619,2.348362923,0,3.716619968,3.128163338,72.17164612,72.15052032,1,1,0,1,1,1
38,2021-10-12 14:19:00-04:00,0.432626605,0.456496418,5.75666666,16.2048111,0.08310131,-0.065691613,0,Pt Created,7.261168003,7.018455982,No Data,7.556681633,0.911359131,0,3.873775482,27.0696888,0,24.42961121,25.94286156,2.349175215,0,3.716553688,3.128098011,72.17253876,72.15117645,1,1,0,1,1,1
39,2021-10-12 14:19:30-04:00,0.432406127,0.456062973,5.756667614,16.21110153,0.085146777,-0.063900515,0,Pt Created,7.416909218,7.430148125,No Data,7.555538177,0.912486553,0,3.876836538,27.06708336,0,24.42958069,25.94295692,2.349987507,0,3.716487169,3.128032684,72.17342377,72.15182495,1,1,0,1,1,1
40,2021-10-12 14:20:00-04:00,0.43218562,0.455629557,5.756668568,16.21739388,0.087192245,-0.062109418,0,Pt Created,7.384987354,7.47338438,No Data,7.554394722,0.913613975,0,3.879897833,27.06447792,0,24.42954826,25.9430542,2.350800037,0,3.716420889,3.127967358,72.17431641,72.15247345,1,1,0,1,1,1
